StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2_1,Gym2_2,Gym2_3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,FL_5_DO_FL_14,FL_5_DO_FL_15,FL_5_DO_FL_16,FL_5_DO_FL_17
2022-09-13 09:29:49,2022-09-13 09:39:08,0,100,558,1,2022-09-13 09:39:08,R_2PcX26qdbm7vRnr,anonymous,ZH-S,1,1,0,20,0,40,30,1,5,2,2,10,10,20,20,1,1,1,2,20,40,20,40,2,1,2,3,2,1,1,10,1,3,2,1,4,2,21,1,15,36,4,1,2,4,3,1
2022-09-13 09:26:51,2022-09-13 09:39:09,0,100,738,1,2022-09-13 09:39:10,R_1EdgzMBkGqZB49q,anonymous,ZH-S,1,1,0,10,0,20,15,1,4,2,1,0,20,10,30,1,1,1,2,0,20,10,30,2,4,3,2,2,1,2,10,1,3,2,1,5,1,19,2,13,36,4,1,3,4,1,2
2022-09-13 09:20:27,2022-09-13 09:39:40,0,100,1152,1,2022-09-13 09:39:40,R_Zlc0sZk8nYu88TL,anonymous,ZH-S,1,1,5,15,10,30,30,1,5,5,1,5,15,10,30,1,1,3,1,10,30,10,30,1,3,5,1,2,2,3,20,1,3,2,1,5,1,22,4,15,36,4,1,1,4,3,2
2022-09-13 09:27:41,2022-09-13 09:40:14,0,100,752,1,2022-09-13 09:40:14,R_22qVIbMmLD4PydP,anonymous,ZH-S,1,2,0,20,0,30,50,1,1,5,2,10,50,20,60,1,1,2,2,20,50,20,30,2,1,5,5,2,1,1,5,3,3,2,1,4,2,23,2,16,36,4,1,2,4,1,3
2022-09-13 09:27:59,2022-09-13 09:40:24,0,100,745,1,2022-09-13 09:40:25,R_33yu580LyV5hTaC,anonymous,ZH-S,1,3,10,15,15,25,15,1,5,4,1,10,15,20,30,1,1,2,2,20,25,20,30,1,3,4,2,2,1,2,10,1,3,2,1,4,2,23,7,17,36,4,1,3,1,2,4
2022-09-13 09:24:09,2022-09-13 09:41:21,0,100,1032,1,2022-09-13 09:41:22,R_spx5WtVvPCqM9QB,anonymous,ZH-S,1,2,0,15,0,20,30,2,4,2,1,10,15,20,30,1,1,1,2,15,25,20,25,2,3,2,2,2,1,1,10,1,3,2,1,3,2,21,1,16,36,4,1,1,2,4,3
2022-09-13 09:31:37,2022-09-13 09:41:35,0,100,598,1,2022-09-13 09:41:37,R_2XpvMZc4ZHLq0MY,anonymous,ZH-S,1,2,0,10,0,20,20,1,5,4,2,10,20,20,20,3,1,1,2,20,30,20,30,2,5,5,2,1,1,1,5,1,3,2,4,5,2,22,7,15,36,4,1,1,3,2,4
2022-09-13 09:30:12,2022-09-13 09:42:52,0,100,759,1,2022-09-13 09:42:52,R_3qVT1KOjQBKf420,anonymous,ZH-S,1,3,0,10,0,20,30,1,5,1,2,0,20,0,40,3,1,1,3,10,20,10,30,2,1,5,1,2,1,1,15,3,3,2,1,3,2,25,7,18,36,4,1,4,2,3,1
2022-09-13 09:30:21,2022-09-13 09:43:24,0,100,782,1,2022-09-13 09:43:25,R_2VpVVvdP5ZpB6qq,anonymous,ZH-S,1,3,0,10,0,20,50,1,5,5,1,0,10,0,20,1,2,2,2,0,15,0,20,1,4,5,1,2,2,2,10,1,4,2,4,4,1,19,7,12,36,4,1,1,4,2,3
2022-09-13 09:37:54,2022-09-13 09:46:13,0,100,498,1,2022-09-13 09:46:14,R_3EXVhpwDHqCWCYb,anonymous,ZH-S,1,3,0,10,0,20,15,1,5,4,2,10,20,20,30,2,2,2,2,20,20,20,30,1,3,4,1,2,1,3,10,1,1,2,4,5,1,20,6,12,36,4,1,4,2,3,1
2022-09-13 09:37:57,2022-09-13 09:48:26,0,100,628,1,2022-09-13 09:48:26,R_2EELfv2a6FG2o4N,anonymous,ZH-S,1,3,10,18,20,25,25,3,4,1,1,10,15,20,25,3,1,2,2,10,15,20,25,2,5,2,2,2,1,2,10,1,3,2,1,5,2,24,7,18,36,4,1,2,1,4,3
2022-09-13 09:41:00,2022-09-13 09:49:42,0,100,521,1,2022-09-13 09:49:43,R_3NxriUAlNZhdS0j,anonymous,ZH-S,1,1,10,10,20,20,15,1,5,5,1,10,10,20,20,1,1,3,2,10,10,20,20,1,1,5,5,2,1,3,15,2,3,3,4,4,1,18,7,13,36,4,1,2,1,4,3
2022-09-13 09:43:04,2022-09-13 09:52:38,0,100,573,1,2022-09-13 09:52:39,R_2Pzp3RAwAliDDnZ,anonymous,ZH-S,1,1,10,10,20,20,15,2,4,3,1,10,10,20,20,1,2,1,1,10,10,20,20,1,2,3,3,3,2,1,5,1,3,2,4,5,2,18,4,12,36,4,1,2,1,4,3
2022-09-13 09:41:33,2022-09-13 09:55:56,0,100,862,1,2022-09-13 09:55:56,R_3Mg56F1LaaBi9xG,anonymous,ZH-S,1,1,10,20,20,40,10,1,5,1,1,10,20,20,40,3,1,1,2,10,20,20,40,1,1,5,1,2,1,1,10,2,3,3,2,3,1,26,1,15,36,4,1,3,1,4,2
2022-09-13 09:49:25,2022-09-13 10:00:27,0,100,662,1,2022-09-13 10:00:28,R_1Iz5w5KBvbFtfaw,anonymous,ZH-S,1,1,0,10,0,20,10,3,5,1,2,10,10,20,20,1,2,2,2,20,20,20,20,2,3,5,1,2,1,2,10,1,3,2,4,4,2,20,4,13,36,4,1,4,3,1,2
2022-09-13 10:06:16,2022-09-13 10:17:17,0,100,661,1,2022-09-13 10:17:19,R_ZykT5Eb5khnBKWl,anonymous,ZH-S,1,2,10,15,20,25,15,4,4,3,2,10,15,20,25,2,2,2,2,20,25,25,30,2,4,4,3,2,2,1,15,1,3,2,1,3,2,21,6,16,36,4,1,2,4,1,3
2022-09-13 10:08:25,2022-09-13 10:21:47,0,100,801,1,2022-09-13 10:21:47,R_2dg87UzHFoASdEs,anonymous,ZH-S,1,1,10,20,20,30,30,1,4,2,2,10,20,20,30,1,1,2,2,10,20,20,30,2,3,4,2,2,1,2,9,1,3,2,4,4,2,20,6,14,36,4,1,1,4,3,2
2022-09-13 10:15:17,2022-09-13 10:26:49,0,100,692,1,2022-09-13 10:26:50,R_3h6pkipJTg1AnB8,anonymous,ZH-S,1,2,8,12,18,22,30,3,5,2,1,9.5,12,19,25,2,2,3,2,10,20,20,25,1,3,5,2,2,2,3,5,1,3,2,4,4,2,20,3,14,36,4,1,4,1,3,2
2022-09-13 10:30:05,2022-09-13 10:37:06,0,100,420,1,2022-09-13 10:37:07,R_1pmoNzQ8UlGQvSC,anonymous,ZH-S,1,1,0,10,0,20,30,1,5,5,2,10,10,20,20,1,1,3,2,10,20,20,20,1,5,3,3,3,1,1,3,1,3,3,3,3,1,25,7,13,36,4,1,4,1,2,3
2022-09-13 10:34:17,2022-09-13 10:45:46,0,100,688,1,2022-09-13 10:45:47,R_31drbhu9AxCK9EI,anonymous,ZH-S,1,3,0,10,0,20,50,1,5,5,2,10,20,20,30,1,2,3,2,10,30,20,30,1,2,4,2,2,2,3,10,1,3,2,1,5,2,20,6,14,36,4,1,4,3,1,2
2022-09-13 10:46:37,2022-09-13 10:54:18,0,100,460,1,2022-09-13 10:54:18,R_1ilEAPbBaBR7ruM,anonymous,ZH-S,1,3,10,10,20,20,20,1,5,1,1,10,20,20,25,3,2,1,2,20,20,20,20,1,1,5,1,1,1,1,10,1,3,3,4,4,2,24,2,21,36,4,1,3,2,4,1
2022-09-13 11:41:16,2022-09-13 11:47:29,0,100,373,1,2022-09-13 11:47:30,R_26nxmCg7ZiQu53t,anonymous,ZH-S,1,3,10,20,20,40,50,2,4,2,1,10,20,20,40,1,1,3,2,20,40,20,40,2,2,4,2,2,1,3,5,1,3,2,4,5,2,21,6,16,36,4,1,1,2,4,3
2022-09-13 11:46:58,2022-09-13 11:51:13,0,100,254,1,2022-09-13 11:51:13,R_27VcGQ89HdiRGz6,anonymous,ZH-S,1,1,0,10,0,20,10,1,5,3,1,10,10,20,20,1,1,1,2,10,20,20,20,1,5,5,1,2,1,1,10,1,3,2,3,5,1,24,6,18,36,4,1,3,2,4,1
2022-09-13 13:41:34,2022-09-13 13:49:54,0,100,500,1,2022-09-13 13:49:55,R_etSpuQApk4rncT7,anonymous,ZH-S,1,2,0,10,0,20,20,5,1,3,1,0,15,10,30,2,1,2,2,0,40,0,60,1,5,1,4,2,2,3,10,1,3,2,1,4,1,25,6,19,36,4,1,4,1,2,3
2022-09-13 13:41:57,2022-09-13 13:51:06,0,100,549,1,2022-09-13 13:51:07,R_pyk2G18VOkYdZE5,anonymous,ZH-S,1,1,0,10,0,20,30,1,5,3,1,0,10,0,20,1,1,2,2,10,20,20,20,2,3,5,1,2,2,1,5,1,3,2,1,4,1,30,3,20,36,4,1,3,4,1,2
2022-09-13 13:41:13,2022-09-13 13:51:10,0,100,596,1,2022-09-13 13:51:10,R_240NdMV6ylKRa4N,anonymous,ZH-S,1,3,8,10,15,20,60,1,5,3,2,10,12,20,25,1,1,3,2,20,25,20,30,2,4,2,4,2,1,1,5,1,3,2,1,4,1,20,6,14,36,4,1,1,4,3,2
2022-09-13 13:42:13,2022-09-13 13:52:38,0,100,625,1,2022-09-13 13:52:39,R_xbH5yEws0Y7oPLz,anonymous,ZH-S,1,3,0,10,0,20,50,1,5,5,1,0,10,0,20,3,1,2,2,0,20,0,20,1,1,5,5,2,1,2,10,1,3,2,1,5,1,30,6,18,36,4,1,3,4,1,2
2022-09-13 13:48:52,2022-09-13 13:54:28,0,100,335,1,2022-09-13 13:54:28,R_1f31kiMcXZicVDi,anonymous,ZH-S,1,1,10,15,20,30,50,4,4,3,1,10,15,20,30,1,2,2,2,10,20,20,30,2,4,4,2,2,1,1,5,1,3,2,4,5,2,21,5,15,36,4,1,3,2,4,1
2022-09-13 13:42:10,2022-09-13 13:56:44,0,100,874,1,2022-09-13 13:56:45,R_WB5q30dhSVgmFYB,anonymous,ZH-S,1,1,10,20,22,35,5,4,5,2,2,10,20,22,50,1,1,1,1,10,20,22,35,2,4,5,2,2,1,1,5,1,3,2,1,5,2,20,6,15,36,4,1,4,2,3,1
2022-09-13 13:43:57,2022-09-13 13:58:20,0,100,862,1,2022-09-13 13:58:20,R_1mlW4g1wiDXkLCA,anonymous,ZH-S,1,2,0,10,0,20,150,5,1,4,1,10,10,20,50,2,1,1,1,10,20,20,30,1,4,5,4,2,1,1,30,1,3,2,3,4,2,35,6,19,36,4,1,3,2,1,4
2022-09-13 13:48:22,2022-09-13 13:58:58,0,100,636,1,2022-09-13 13:58:59,R_1o0TZFFDsQ46RQD,anonymous,ZH-S,1,1,8,10,15,18,45,1,5,5,2,8,10,15,18,1,1,2,2,20,18,15,20,2,3,5,1,2,1,2,15,1,3,3,4,4,2,30,7,18,36,4,1,1,2,4,3
2022-09-13 13:50:05,2022-09-13 14:01:29,0,100,684,1,2022-09-13 14:01:31,R_DGHlGPVVTImYg49,anonymous,ZH-S,1,2,10,20,20,40,5,5,5,5,1,10,20,20,40,1,1,1,1,10,20,20,40,2,3,3,3,2,1,1,5,1,3,2,3,4,2,37,6,19,36,4,1,2,1,4,3
2022-09-13 13:53:57,2022-09-13 14:02:07,0,100,490,1,2022-09-13 14:02:08,R_1QgSrHmOVYjAobY,anonymous,ZH-S,1,3,10,20,20,40,50,1,5,5,2,10,20,20,40,1,1,3,2,20,40,20,40,2,5,1,3,2,1,1,20,1,3,2,1,4,1,24,6,18,36,4,1,3,4,2,1
2022-09-13 13:51:58,2022-09-13 14:02:49,0,100,651,1,2022-09-13 14:02:49,R_1Pdhpdnf1DvYdpe,anonymous,ZH-S,1,3,0,10,0,20,50,2,3,3,1,10,12,20,25,1,1,2,2,10,12,20,25,1,2,3,3,2,1,2,50,1,3,2,1,3,1,27,6,18,36,4,1,2,1,4,3
2022-09-13 13:55:10,2022-09-13 14:07:55,0,100,764,1,2022-09-13 14:07:55,R_1Qfw5co9z6humSa,anonymous,ZH-S,1,2,0,10,0,20,50,1,5,3,1,0,10,0,20,1,1,1,1,0,10,0,20,2,4,5,1,2,1,1,10,1,3,2,1,3,1,33,6,18,36,4,1,3,4,2,1
2022-09-13 13:53:30,2022-09-13 14:08:38,0,100,908,1,2022-09-13 14:08:39,R_1JLveROYyMqtKwk,anonymous,ZH-S,1,2,5,20,10,30,20,1,5,4,1,10,20,20,30,1,1,3,2,10,20,20,30,2,5,1,3,2,2,3,10,1,3,2,1,3,2,25,2,19,36,4,1,1,3,2,4
