StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,R,FL_5_DO_FL_14,FL_5_DO_FL_15,FL_5_DO_FL_16,FL_5_DO_FL_17
2022-09-16 03:05:33,2022-09-16 03:19:57,0,100,863,1,2022-09-16 03:19:57,R_2xKkAtDa5MLRe0Z,anonymous,PT,0.8999999761581421,1,2,5,10,5,15,5,4,2,3,2,5,10,5,15,1,1,3,2,5,10,5,10,2,4,2,2,2,2,3,1.5,3,3,3,4,3,2,25,1,12,138,8,1,,3,4,1,2
2022-09-16 08:23:08,2022-09-16 08:32:48,0,100,579,1,2022-09-16 08:32:48,R_1F50Gt8SkBuZ5wI,anonymous,PT,1,1,1,0,0,0,0,0,4,4,3,1,5,5,5,5,1,2,1,2,10,10,10,10,1,4,4,3,2,2,1,0.25,1,1,3,4,5,1,43,5,21,138,8,1,,2,3,4,1
2022-09-16 13:09:35,2022-09-16 13:18:26,0,100,530,1,2022-09-16 13:18:26,R_x57aqSVRkkaChnX,anonymous,PT,1,1,1,5,15,5,15,6,2,5,5,2,5,15,5,15,1,1,2,2,10,10,10,15,2,5,1,2,2,2,2,2,1,3,2,4,5,2,24,1,19,138,8,1,,1,2,3,4
2022-09-16 13:04:26,2022-09-16 13:20:16,0,100,950,1,2022-09-16 13:20:16,R_bKhR5NySlntNab7,anonymous,PT,1,1,2,0,5,0,9,2,1,5,5,1,5,7,7,9,1,1,2,1,5,7,7,9,1,2,4,5,2,1,2,1.20,1,3,3,4,3,2,25,1,17,138,8,1,,4,3,1,2
2022-09-16 13:32:46,2022-09-16 13:47:34,0,100,887,1,2022-09-16 13:47:34,R_erePxW3SqOf0JYl,anonymous,PT,1,1,3,5,5,10,10,5,3,2,2,2,5,5,10,10,1,2,3,2,10,10,10,10,2,5,3,2,1,2,3,5,1,4,1,2,4,2,27,4,17,138,8,1,,2,4,1,3
2022-09-16 15:00:07,2022-09-16 15:12:02,0,100,714,1,2022-09-16 15:12:02,R_27dor7jDbq68Rtk,anonymous,PT,1,1,3,0,5,0,10,25,1,5,5,2,5,10,10,15,3,2,1,3,10,15,10,15,2,1,5,5,1,2,1,5,3,3,1,3,4,2,24,2,15,138,8,1,,2,4,1,3
2022-09-16 15:06:14,2022-09-16 15:15:19,0,100,544,1,2022-09-16 15:15:19,R_2zje9Bai12mXSF2,anonymous,PT,1,1,1,0,5,0,5,5,1,5,1,1,0,5,0,5,1,1,2,2,0,5,0,10,1,1,5,1,2,1,2,2,1,1,2,2,4,1,55,4,13,138,8,1,,3,1,4,2
2022-09-16 15:22:25,2022-09-16 15:42:52,0,100,1226,1,2022-09-16 15:42:53,R_x4M6ImI6eezxPbz,anonymous,PT,1,1,3,0,0,0,0,5,2,4,4,2,3,5,8,10,3,2,1,2,5,8,8,10,2,3,2,3,2,2,1,3,1,4,3,4,5,2,22,9,15,138,8,1,,1,4,2,3
2022-09-16 16:18:16,2022-09-16 16:32:43,0,100,866,1,2022-09-16 16:32:43,R_1GCylpzKtCye9ho,anonymous,PT,0.4000000059604645,1,3,5,5,10,10,10,4,2,3,2,5,5,10,10,1,1,2,2,10,10,10,10,2,4,2,3,3,1,2,2,1,2,2,1,2,4,24,7,16,138,8,1,,4,3,2,1
2022-09-16 17:17:48,2022-09-16 17:37:52,0,100,1203,1,2022-09-16 17:37:52,R_Tw8QxO5UWzT0NBT,anonymous,PT,1,1,3,0,5,0,10,10,4,4,3,2,5,5,5,10,3,1,3,2,10,10,10,10,2,3,4,3,2,1,1,2,2,3,2,1,4,2,42,3,12,138,8,1,,4,1,2,3
2022-09-16 19:51:39,2022-09-16 19:59:54,0,100,494,1,2022-09-16 19:59:54,R_NX9v4VoKhEPphzr,anonymous,PT,0.8999999761581421,1,1,5,10,5,10,2,1,5,5,1,5,10,5,10,1,2,1,1,10,10,10,15,1,1,5,5,1,2,1,1.50,1,3,3,4,5,2,31,3,17,138,8,1,,4,1,2,3
2022-09-16 19:54:45,2022-09-16 20:05:22,0,100,636,1,2022-09-16 20:05:22,R_vc1W7UDItIupupz,anonymous,PT,0.8999999761581421,1,1,0,0,0,0,5,1,5,5,1,5,5,5,5,1,2,2,2,5,5,10,10,1,5,1,3,2,1,2,2,1,2,3,4,3,2,30,4,17,138,8,1,,2,1,3,4
2022-09-16 19:55:14,2022-09-16 20:06:39,0,100,685,1,2022-09-16 20:06:39,R_2TuD4jWqVQVbLN0,anonymous,PT,1,1,3,0,0,0,0,5,1,5,5,1,15,20,25,30,3,1,1,3,5,10,10,15,1,1,5,5,3,1,1,2,2,4,2,4,5,2,34,3,12,138,8,1,,3,1,4,2
2022-09-16 20:04:05,2022-09-16 20:13:46,0,100,580,1,2022-09-16 20:13:46,R_1pmqKwC27tluuwR,anonymous,PT,1,1,1,0,5,0,10,2,1,5,5,2,5,5,5,10,1,1,3,1,10,10,10,10,2,4,2,3,2,1,3,1,1,3,2,3,5,2,31,4,18,138,8,1,,2,3,1,4
2022-09-16 19:51:57,2022-09-16 20:15:16,0,100,1399,1,2022-09-16 20:15:16,R_1ltxUGT119B43Fr,anonymous,PT,0.8999999761581421,1,3,0,5,0,5,10,1,5,5,1,0,5,0,7,1,1,1,1,5,10,5,10,2,5,1,3,2,1,1,5,1,4,2,4,5,2,27,8,16,185,8,1,,2,1,4,3
2022-09-16 20:06:44,2022-09-16 20:15:55,0,100,551,1,2022-09-16 20:15:56,R_28UjjKJAyjYO0qf,anonymous,PT,0.8999999761581421,1,1,5,10,10,10,10,5,1,5,2,5,5,10,10,1,1,2,2,5,10,10,10,2,5,1,5,2,1,2,5,1,3,2,4,5,2,25,1,15,138,8,1,,2,3,1,4
2022-09-16 20:04:46,2022-09-16 20:17:24,0,100,758,1,2022-09-16 20:17:25,R_2UXCP8NFCyr7WBp,anonymous,PT,0.699999988079071,1,3,5,10,10,20,3,2,5,5,1,5,10,10,20,3,2,1,2,10,20,10,20,1,2,1,5,2,2,1,2,4,4,1,2,3,2,27,1,5,138,8,1,,3,1,4,2
2022-09-16 20:33:43,2022-09-16 20:46:30,0,100,767,1,2022-09-16 20:46:31,R_3NDT0f4QUOeemM7,anonymous,PT,0.699999988079071,1,1,5,5,5,15,5,2,2,2,2,5,5,10,15,1,2,2,2,10,15,15,20,1,2,2,3,3,2,3,5,4,3,2,2,3,2,24,3,3,138,8,1,,1,2,3,4
2022-09-16 20:46:05,2022-09-16 21:02:48,0,100,1002,1,2022-09-16 21:02:48,R_2rAdZDJHcwsC0Sb,anonymous,PT,0.8999999761581421,1,1,0,5,0,10,5,1,5,5,1,0,5,0,10,1,2,2,1,0,10,0,10,1,3,1,5,2,2,2,3,4,3,2,3,4,2,30,4,12,138,8,1,,2,4,3,1
2022-09-16 21:35:09,2022-09-16 21:42:19,0,100,429,1,2022-09-16 21:42:19,R_vMo4puKOJVTtl6h,anonymous,PT,0.8999999761581421,1,2,10,10,10,15,50,2,1,1,1,5,10,10,10,1,1,1,3,10,10,15,15,1,5,5,1,2,1,2,100,2,1,1,1,1,2,28,1,18,138,8,1,,2,1,3,4
2022-09-16 21:37:13,2022-09-16 21:49:32,0,100,738,1,2022-09-16 21:49:32,R_6VY1z0YaeVf6ngB,anonymous,PT,0.699999988079071,1,1,5,10,10,10,8,3,5,5,1,5,10,10,10,1,2,1,2,5,10,10,10,1,3,5,5,2,2,1,2,3,4,2,4,4,2,20,3,13,138,8,1,,3,4,2,1
2022-09-16 21:38:59,2022-09-16 21:55:18,0,100,978,1,2022-09-16 21:55:18,R_3dZNGszfekZQ1Et,anonymous,PT,0.8999999761581421,1,1,5,5,10,15,10,1,3,2,2,5,10,5,15,1,1,2,1,5,5,5,10,2,1,3,2,3,2,2,3,2,3,3,4,3,2,26,4,12,101,8,1,,2,1,3,4
2022-09-16 21:50:06,2022-09-16 21:56:14,0,100,367,1,2022-09-16 21:56:14,R_2dtPb3MEuAPEeOR,anonymous,PT,0.699999988079071,1,1,5,10,10,10,8,3,5,5,1,5,10,10,10,1,2,1,2,5,10,10,10,1,3,5,5,2,2,1,3,3,4,2,4,4,2,20,3,13,138,8,1,,3,2,4,1
2022-09-16 21:50:14,2022-09-16 21:59:40,0,100,566,1,2022-09-16 21:59:41,R_3dFzFfOpjrHRt6J,anonymous,PT,0.699999988079071,1,3,5,40,10,100,10,3,5,5,1,5,40,10,100,1,1,1,1,10,50,10,90,2,3,5,1,3,1,1,5,1,4,2,4,4,2,26,1,15,138,18,1,,1,2,3,4
2022-09-16 21:39:10,2022-09-16 22:01:02,0,100,1311,1,2022-09-16 22:01:02,R_2rBjdMeuUDDVoOc,anonymous,PT,1,1,3,5,8,5,8,2.50,2,4,3,1,5,8,5,8,3,2,1,2,5,8,5,10,1,2,4,4,3,2,1,2,4,4,3,4,4,2,28,2,12,138,8,1,,1,2,4,3
2022-09-16 21:52:42,2022-09-16 22:10:31,0,100,1069,1,2022-09-16 22:10:31,R_3fU9I7iwHYI9BGH,anonymous,PT,1,1,1,0,0,0,0,5,2,4,4,2,0,5,0,5,3,2,2,2,0,5,0,5,2,2,4,5,2,2,2,5,1,4,3,4,5,2,26,9,19,138,8,1,,3,4,1,2
2022-09-16 21:53:29,2022-09-16 22:13:38,0,100,1209,1,2022-09-16 22:13:39,R_1q39CBb7wz3xl8D,anonymous,PT,1,1,1,0,0,0,0,10,4,2,4,1,5,5,5,5,1,2,2,2,5,5,5,5,1,4,3,4,1,2,2,5,3,4,3,4,5,2,35,5,16,138,8,1,,1,3,4,2
2022-09-16 21:49:27,2022-09-16 22:16:18,0,100,1610,1,2022-09-16 22:16:18,R_1PdX7nFv1biEGpg,anonymous,PT,1,1,1,0,5,0,5,3,1,4,5,1,5,5,5,10,1,2,1,1,5,10,10,10,2,3,4,3,2,2,1,3,1,4,3,4,5,2,32,9,12,138,8,1,,3,4,2,1
2022-09-16 22:06:43,2022-09-16 22:16:43,0,100,600,1,2022-09-16 22:16:44,R_3iJTFlX28pY14ar,anonymous,PT,0.8999999761581421,1,3,0,0,0,0,10,3,3,3,2,5,5,5,5,3,2,2,3,5,5,10,10,2,2,3,3,3,2,2,10,1,3,2,4,3,2,49,8,17,138,8,1,,1,4,2,3
2022-09-16 22:14:09,2022-09-16 22:24:33,0,100,623,1,2022-09-16 22:24:33,R_1QoLk58DiQw3T44,anonymous,PT,1,1,3,5,5,5,5,2.50,1,1,1,1,5,5,5,5,3,1,2,2,10,10,10,10,1,1,1,1,1,2,2,1.50,1,3,3,3,3,2,48,1,23,138,8,1,,4,1,2,3
2022-09-16 22:13:41,2022-09-16 22:24:37,0,100,656,1,2022-09-16 22:24:38,R_2ckdlOsHLRWTGCu,anonymous,PT,0.8999999761581421,1,1,0,5,0,10,10,1,5,5,1,0,5,0,10,1,2,3,2,0,10,0,10,2,3,3,1,2,2,1,10,4,3,3,4,5,2,22,2,12,138,8,1,,1,3,4,2
2022-09-16 22:14:50,2022-09-16 22:28:20,0,100,810,1,2022-09-16 22:28:21,R_3sbsN96BwJmGWUq,anonymous,PT,1,1,1,0,5,0,10,5,3,4,2,1,5,6,5,10,1,2,2,2,10,10,10,10,1,3,4,2,2,2,2,3,2,2,3,4,5,2,22,1,17,138,8,1,,4,2,3,1
2022-09-16 21:03:55,2022-09-16 22:33:10,0,100,5355,1,2022-09-16 22:33:11,R_2R3KMqdL4JtP90s,anonymous,PT,0.8999999761581421,1,1,0,0,0,0,10,4,2,3,2,5,5,5,5,2,1,2,2,5,5,5,10,2,4,2,3,2,1,2,5,4,3,2,4,5,2,31,1,19,138,8,1,,3,2,1,4
2022-09-16 22:19:10,2022-09-16 22:42:11,0,100,1380,1,2022-09-16 22:42:11,R_1rrloZPscdTEo59,anonymous,PT,0.8999999761581421,1,1,5,5,10,10,5,2,4,3,1,5,8,5,10,1,2,2,2,5,5,10,10,1,2,4,3,2,2,2,5,1,3,2,4,5,2,26,1,17,138,3,1,,4,2,3,1
